date,reservoir_id,level_m,median_m,hist_high_m,hist_high_year,hist_low_m,hist_low_year
1990-09-28,baskatong,221.21,220.34,222.69,1988,216.81,1982
1990-09-28,cabonga,358.98,359.81,360.98,1951,357.68,1929
1990-09-28,des_joachims,152.19,152.19,152.34,1957,151.33,1955
1990-09-28,dozois,344.97,343.24,346.16,1965,341.11,2005
1990-09-28,kiamika,268.72,267.53,269.97,1957,266.4,1956
1990-09-28,kipawa,269.55,269.39,269.92,1965,269.08,2010
1990-09-28,lady_evelyn,288.96,289.06,289.56,1951,287.61,1971
1990-09-28,mitchinamecus,380.39,378.56,382.95,1957,375.89,1975
1990-09-28,poisson_blanc,199.05,199.44,201.55,1965,194.81,1978
1990-09-28,quinze,263.24,262.91,263.43,1988,261.19,1962
1990-09-28,rapide_7,309.47,309.06,309.47,1990,308.17,2005
1990-09-28,timiskaming,179.03,178.89,179.41,2010,178.49,1989
1990-09-29,bark_lake,313.23,313.69,313.87,1954,309.39,1953
1990-09-29,baskatong,221.23,220.32,222.71,1988,216.8,1982
1990-09-29,cabonga,358.98,359.81,360.98,1951,357.69,1929
1990-09-29,des_joachims,152.18,152.19,152.34,1960,151.39,1955
1990-09-29,dozois,345.0,343.23,346.17,1965,341.08,2005
1990-09-29,kiamika,268.7,267.53,269.96,1957,266.43,1956
1990-09-29,kipawa,269.55,269.39,269.92,1965,269.08,2016
1990-09-29,lady_evelyn,288.95,289.06,289.56,1951,287.58,1971
1990-09-29,mitchinamecus,380.4,378.55,382.92,1957,375.77,1975
1990-09-29,poisson_blanc,198.99,199.41,201.6,1965,194.72,1978
1990-09-29,quinze,263.26,262.9,263.42,1988,261.17,1962
1990-09-29,rapide_7,309.42,309.06,309.42,1990,308.17,2005
1990-09-29,timiskaming,179.05,178.89,179.41,2010,178.54,1989
1990-09-30,bark_lake,313.24,313.69,313.93,1954,309.38,1953
1990-09-30,baskatong,221.22,220.33,222.72,1988,216.81,1982
1990-09-30,cabonga,359.01,359.8,360.99,1951,357.69,1929
1990-09-30,des_joachims,152.23,152.18,152.34,1950,151.55,1955
1990-09-30,dozois,345.01,343.21,346.19,1965,341.13,2005
1990-09-30,kiamika,268.69,267.52,269.96,1957,266.46,1956
1990-09-30,kipawa,269.56,269.38,269.92,1965,269.08,2016
1990-09-30,lady_evelyn,288.98,289.05,289.56,1951,287.55,1971
1990-09-30,mitchinamecus,380.4,378.55,382.92,1957,375.66,1975
1990-09-30,poisson_blanc,198.92,199.44,201.64,1965,194.68,1978
1990-09-30,quinze,263.29,262.89,263.39,1988,261.16,1962
1990-09-30,rapide_7,309.38,309.06,309.38,1990,308.14,2005
1990-09-30,timiskaming,179.09,178.88,179.37,2010,178.53,1989
1990-10-01,bark_lake,313.24,313.69,313.93,1954,309.37,1953
1990-10-01,baskatong,221.23,220.33,222.78,1988,216.79,1982
1990-10-01,cabonga,359.01,359.8,360.99,1951,357.69,1929
1990-10-01,des_joachims,152.22,152.18,152.37,1954,151.58,1955
1990-10-01,dozois,345.05,343.2,346.16,1965,341.11,2005
1990-10-01,kiamika,268.67,267.51,269.95,1957,266.48,1982
1990-10-01,kipawa,269.57,269.38,269.9,1963,269.06,2016
1990-10-01,lady_evelyn,288.99,289.05,289.56,1951,287.55,1971
1990-10-01,mitchinamecus,380.41,378.55,382.89,1957,375.56,1975
1990-10-01,poisson_blanc,198.87,199.47,201.66,1965,194.67,1978
1990-10-01,quinze,263.3,262.88,263.39,1988,261.13,1962
1990-10-01,rapide_7,309.35,309.06,309.38,1993,308.14,2005
1990-10-01,timiskaming,179.11,178.88,179.37,2010,178.49,1989
1990-10-02,bark_lake,313.24,313.69,313.91,1954,309.36,1953
1990-10-02,baskatong,221.23,220.33,222.84,1988,216.73,1982
1990-10-02,cabonga,359.02,359.8,361.0,1951,357.69,1929
1990-10-02,des_joachims,152.24,152.17,152.37,1956,151.33,1955
1990-10-02,dozois,345.08,343.19,346.15,1965,341.12,2005
1990-10-02,kiamika,268.66,267.52,269.94,1957,266.43,1995
1990-10-02,kipawa,269.57,269.37,269.9,1963,269.07,2015
1990-10-02,lady_evelyn,289.03,289.06,289.56,1951,287.55,1971
1990-10-02,mitchinamecus,380.41,378.55,382.89,1957,375.44,1975
1990-10-02,poisson_blanc,198.82,199.49,201.69,1965,194.65,1978
1990-10-02,quinze,263.31,262.89,263.43,1956,261.11,1962
1990-10-02,rapide_7,309.34,309.07,309.34,1990,308.14,2005
1990-10-02,timiskaming,179.17,178.89,179.34,2010,178.51,1989
1990-10-03,bark_lake,313.24,313.68,313.9,1954,309.38,1953
1990-10-03,baskatong,221.22,220.3,222.91,1988,216.68,1982
1990-10-03,cabonga,359.01,359.8,361.0,1951,357.69,1929
1990-10-03,des_joachims,152.13,152.17,152.37,1953,151.21,1955
1990-10-03,dozois,345.13,343.21,346.15,1965,341.13,2005
1990-10-03,kiamika,268.66,267.52,269.92,1957,266.39,1995
1990-10-03,kipawa,269.58,269.36,269.9,1963,269.04,2015
1990-10-03,lady_evelyn,289.03,289.06,289.56,1951,287.55,1971
1990-10-03,mitchinamecus,380.43,378.54,382.89,1957,376.4,1982
1990-10-03,poisson_blanc,198.73,199.47,201.73,1965,194.65,1978
1990-10-03,quinze,263.31,262.92,263.44,1988,261.09,1962
1990-10-03,rapide_7,309.34,309.08,309.34,1990,308.14,2005
1990-10-03,timiskaming,179.23,178.88,179.31,1988,178.54,1989
1990-10-04,bark_lake,313.24,313.68,313.89,1954,309.4,1953
1990-10-04,baskatong,221.25,220.27,222.98,1988,216.64,1982
1990-10-04,cabonga,359.04,359.81,361.0,1951,357.68,1998
1990-10-04,des_joachims,152.06,152.17,152.36,1980,151.12,1955
1990-10-04,dozois,345.15,343.22,346.11,1965,341.13,2005
1990-10-04,kiamika,268.64,267.52,269.92,1957,266.34,1995
1990-10-04,kipawa,269.59,269.36,269.9,1963,269.04,2015
1990-10-04,lady_evelyn,289.01,289.06,289.59,1951,287.52,1971
1990-10-04,mitchinamecus,380.43,378.54,382.86,1957,376.41,1982
1990-10-04,poisson_blanc,198.66,199.45,201.74,1965,194.65,1978
1990-10-04,quinze,263.28,262.94,263.45,1988,261.09,1962
1990-10-04,rapide_7,309.32,309.09,309.32,1990,308.13,2005
1990-10-04,timiskaming,179.3,178.87,179.3,1988,178.54,1989
1990-10-05,bark_lake,313.26,313.67,313.92,2006,309.4,1953
1990-10-05,baskatong,221.26,220.25,223.01,1988,216.62,1982
1990-10-05,cabonga,359.04,359.81,361.05,1951,357.65,1998
1990-10-05,des_joachims,152.0,152.16,152.37,1969,151.15,1955
1990-10-05,dozois,345.15,343.22,346.08,1965,341.14,2005
1990-10-05,kiamika,268.64,267.53,269.9,1957,266.3,1995
1990-10-05,kipawa,269.56,269.35,269.9,1963,269.04,2015
1990-10-05,lady_evelyn,289.03,289.06,289.59,1951,287.52,1971
1990-10-05,mitchinamecus,380.47,378.54,382.86,1957,376.42,1982
1990-10-05,poisson_blanc,198.58,199.43,201.75,1965,194.77,1978
1990-10-05,quinze,263.26,262.96,263.44,1988,261.09,1962
1990-10-05,rapide_7,309.25,309.09,309.3,1993,308.12,2005
1990-10-05,timiskaming,179.37,178.86,179.37,1990,178.52,1989
1990-10-06,bark_lake,313.28,313.67,313.88,1954,309.38,1953
1990-10-06,baskatong,221.28,220.25,223.03,1988,216.64,1982
1990-10-06,cabonga,359.04,359.81,361.05,1951,357.63,1998
1990-10-06,des_joachims,152.08,152.16,152.4,1965,151.24,1952
1990-10-06,dozois,345.19,343.2,346.1,1965,341.13,2005
1990-10-06,kiamika,268.63,267.52,269.92,1965,266.27,1995
1990-10-06,kipawa,269.54,269.34,269.89,1963,269.02,2015
1990-10-06,lady_evelyn,289.03,289.05,289.56,1951,287.49,1971
1990-10-06,mitchinamecus,380.47,378.54,382.86,1957,376.42,1982
1990-10-06,poisson_blanc,198.54,199.39,201.74,1965,194.79,1978
1990-10-06,quinze,263.28,262.97,263.43,1956,261.09,1962
1990-10-06,rapide_7,309.24,309.08,309.31,1993,308.11,2005
1990-10-06,timiskaming,179.43,178.88,179.43,1990,178.52,1989
1990-10-07,bark_lake,313.3,313.67,313.9,1954,309.36,1953
1990-10-07,baskatong,221.33,220.25,223.05,1988,216.6,1982
1990-10-07,cabonga,359.04,359.82,361.05,1951,357.62,1998
1990-10-07,des_joachims,151.92,152.16,152.4,1965,151.27,1952
1990-10-07,dozois,345.19,343.16,346.09,1965,341.13,2005
1990-10-07,kiamika,268.63,267.51,269.92,1965,266.26,1995
1990-10-07,kipawa,269.52,269.34,269.87,1963,269.02,2015
1990-10-07,lady_evelyn,289.03,289.05,289.56,1951,287.52,1971
1990-10-07,mitchinamecus,380.51,378.56,382.86,1957,376.43,1982
1990-10-07,poisson_blanc,198.52,199.35,201.73,1965,194.83,1978
1990-10-07,quinze,263.27,262.97,263.41,1988,261.09,1962
1990-10-07,rapide_7,309.22,309.07,309.33,1999,308.09,2005
1990-10-07,timiskaming,179.45,178.88,179.45,1990,178.54,1989
1990-10-08,bark_lake,313.32,313.66,313.9,1954,309.32,1953
1990-10-08,baskatong,221.35,220.24,223.01,1988,216.6,1982
1990-10-08,cabonga,359.04,359.82,361.04,1951,357.6,1998
1990-10-08,des_joachims,151.83,152.15,152.4,1965,151.24,1952
1990-10-08,dozois,345.21,343.12,346.1,1965,341.15,2005
1990-10-08,kiamika,268.62,267.5,269.92,1965,266.24,1995
1990-10-08,kipawa,269.52,269.33,269.86,1965,269.01,2015
1990-10-08,lady_evelyn,289.03,289.05,289.62,1951,287.52,1971
1990-10-08,mitchinamecus,380.52,378.58,382.86,1957,374.95,1975
1990-10-08,poisson_blanc,198.5,199.31,201.73,1965,194.85,1978
1990-10-08,quinze,263.25,262.98,263.42,1974,261.08,1962
